dialogId,dialogGroupId,order,speakerType,speakerId,speakerName,speakerPortraitId,dialogText,textSpeed,hasChoice,nextDialogId,portraitEmotion,shakeEffect,bgmChangeId,sfxId,autoAdvance,autoDelay,skippable
dlg_proj_bad_001,event_project_bad,1,NPC,npc_secretary,비서,portrait_secretary,아쉬운 결과였군요. 그래도 포기하지 마세요! 분석해볼까요?,Normal,true,,default,false,,,false,0,false
dlg_proj_analyze_001,event_project_analyze,1,NPC,npc_secretary,비서,portrait_secretary,일정 관리와 품질 검수에 조금 더 신경써보면 좋을 것 같아요.,Normal,false,dlg_proj_analyze_002,default,false,,,false,0,true
dlg_proj_analyze_002,event_project_analyze,2,NPC,npc_secretary,비서,portrait_secretary,다음엔 반드시 더 좋은 결과가 있을 거예요. 힘내세요 사장님!,Normal,false,,happy,false,,,false,0,true
dlg_proj_pass_001,event_project_pass,1,NPC,npc_secretary,비서,portrait_secretary,알겠습니다. 다음 프로젝트 준비를 도와드릴게요.,Normal,false,,default,false,,,false,0,true
dlg_proj_meh_001,event_project_meh,1,NPC,npc_secretary,비서,portrait_secretary,다음 프로젝트에서 더 좋은 결과를 내봐요. 천천히 성장하면 됩니다.,Normal,false,,default,false,,,false,0,true
dlg_sal_proposal_01,event_salary_negotiation,1,NPC,,{employeeName},{portraitId},현재 연봉 {salary}G -> {newSalary}G 인상을 요청드립니다.,Normal,true,,default,false,,,false,0,false
dlg_sal_hs_common_01,event_sal_hs_common,1,NPC,,{employeeName},{portraitId},딱 보니까 나 없으면 회사 안 돌아가는데 연봉 더 주시죠,Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_hs_female_01,event_sal_hs_female,1,NPC,,{employeeName},{portraitId},사장님.. 누가 봐도 제가 제일 잘하는데 연봉 좀 올려주시면 안될까요?,Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_ls_low_enh_01,event_sal_ls_low_enh,1,NPC,,{employeeName},{portraitId},사장님 삼각김밥 말고 도시락이라도 먹게 해주세요...,Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_ls_coworker_01,event_sal_ls_coworker,1,NPC,,{employeeName},{portraitId},사장님 저도 {coworkerName} 만큼 받고 싶은데 안될까요?,Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_ls_dog_01,event_sal_ls_dog,1,NPC,,{employeeName},{portraitId},사장님 집에 강아지가 배고프대요... 조금만 더 주실 수 없을까요?,Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_ls_quit_01,event_sal_ls_quit,1,NPC,,{employeeName},{portraitId},"이 돈 받고는 더 이상 웃으면서 일 못 하겠습니다. 올리실 건가요, 아니면 공고 새로 올리실 건가요?",Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_lsat_1_01,event_sal_lsat_1,1,NPC,,{employeeName},{portraitId},사장님 이제 기대도 안되네요... 연봉 안 올려주시면 퇴사할게요,Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_lsat_2_01,event_sal_lsat_2,1,NPC,,{employeeName},{portraitId},보너스라도 있으면 기운이 좀 날 텐데 말이죠ㅎㅎ,Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_lsat_3_01,event_sal_lsat_3,1,NPC,,{employeeName},{portraitId},이대로 더는 못 하겠어요,Normal,false,dlg_sal_proposal_01,default,false,,,false,0,true
dlg_sal_acc_1_01,event_sal_acc_1,1,NPC,,{employeeName},{portraitId},앞으로 평생 충성하겠습니다!,Normal,false,,happy,false,,,false,0,true
dlg_sal_acc_2_01,event_sal_acc_2,1,NPC,,{employeeName},{portraitId},사장님 만세!,Normal,false,,happy,false,,,false,0,true
dlg_sal_acc_3_01,event_sal_acc_3,1,NPC,,{employeeName},{portraitId},뽀뽀라도 해 드려도 괜찮을까요?,Normal,false,,happy,false,,,false,0,true
dlg_sal_frz_neu_1_01,event_sal_frz_neu_1,1,NPC,,{employeeName},{portraitId},몰카라고 믿고 싶네요...,Normal,false,,default,false,,,false,0,true
dlg_sal_frz_neu_2_01,event_sal_frz_neu_2,1,NPC,,{employeeName},{portraitId},내년에는 올려주실꺼라고 믿을게요...,Normal,false,,default,false,,,false,0,true
dlg_sal_frz_ang_1_01,event_sal_frz_ang_1,1,NPC,,{employeeName},{portraitId},흥 앞으로 평생 볼일 없을꺼에요,Normal,false,,sad,false,,,false,0,true
dlg_sal_frz_ang_2_01,event_sal_frz_ang_2,1,NPC,,{employeeName},{portraitId},제가 나가면 후회하실 텐데...,Normal,false,,sad,false,,,false,0,true
dlg_patrol_001,event_patrol_talk,1,NPC,,{employeeName},{portraitId},사장님! 저 열심히 하고 있지 않나요!?,Normal,false,dlg_patrol_002,happy,false,,,false,0,true
dlg_patrol_002,event_patrol_talk,2,NPC,,{employeeName},{portraitId},그렇다구요..,Normal,true,,default,false,,,false,0,false
dlg_patrol_bonus_001,event_patrol_bonus,1,NPC,,{employeeName},{portraitId},감사합니다!,Normal,false,,happy,false,,,false,0,true
dlg_patrol_sad_001,event_patrol_sad,1,NPC,,{employeeName},{portraitId},너무해욧!,Normal,false,,sad,false,,,false,0,true
tut_intro_0,tutorial_intro,1,NPC,npc_secretary,비서,portrait_secretary,"조조 게임즈를 꺾고 세계 최고가 되겠다고 창업해 놓고, 회사 차린 지 30분 만에 졸고 계시면 어떡해요!",Normal,false,tut_intro_1,default,false,,,false,0,true
tut_intro_1,tutorial_intro,2,NPC,npc_secretary,비서,portrait_secretary,얼른 직원도 뽑고 개발도 시작해서 이 칙칙한 반지하부터 탈출해야죠. 설마 평생 여기서 게임 만들 생각은 아니시죠?,Normal,false,,default,false,,,false,0,true
